epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
17,100,200,823,14191,0.000725,1.4601,1.4632,0.21255000000000002,0.21815,0.1321,0.1137,18670.0,2
17,100,300,823,14291,0.000725,1.4627,1.4626,0.21665,0.21735,0.0779,0.1082,18670.0,2
17,100,400,823,14391,0.000725,1.4606,1.4621,0.20885,0.2165,0.143,0.1087,18670.0,2
17,100,500,823,14491,0.000725,1.46095,1.4619,0.21155000000000002,0.21575,0.114,0.1092,18670.0,2
17,100,600,823,14591,0.000725,1.4597,1.4617,0.20945000000000003,0.21505,0.108,0.1075,18670.0,2
17,100,700,823,14691,0.000725,1.4593,1.4615,0.2081,0.21450000000000002,0.0944,0.1077,18670.0,2
17,100,800,823,14791,0.000725,1.45975,1.4613,0.2121,0.2138,0.1098,0.1065,18670.0,2
18,100,0,823,14814,0.000725,1.9989,1.9989,0.2123,0.2123,0.0652,0.0652,18670.0,2
18,100,100,823,14914,0.000725,1.4618,1.4661,0.20625,0.20829999999999999,0.0532,0.0891,18670.0,2
18,100,200,823,15014,0.000725,1.462,1.4639,0.2049,0.20785,0.1179,0.0971,18670.0,2
18,100,300,823,15114,0.000725,1.4621,1.4631,0.2069,0.2074,0.0593,0.0993,18670.0,2
18,100,400,823,15214,0.000725,1.4665,1.4632,0.20365,0.2069,0.0759,0.0986,18670.0,2
18,100,500,823,15314,0.000725,1.4639,1.4634,0.2036,0.20645000000000002,0.0904,0.0978,18670.0,2
18,100,600,823,15414,0.000725,1.463,1.4633,0.20615,0.20585,0.1338,0.097,18670.0,2
18,100,700,823,15514,0.000725,1.4622,1.4632,0.2021,0.2053,0.072,0.0955,18670.0,2
18,100,800,823,15614,0.000725,1.4625,1.4631,0.20155,0.20485,0.1554,0.096,18670.0,2
19,100,0,823,15637,0.000725,2.05355,2.05355,0.2029,0.2029,0.1256,0.1256,18670.0,2
19,100,100,823,15737,0.000725,1.464,1.4684,0.20155,0.20005,0.102,0.0959,18670.0,2
19,100,200,823,15837,0.000725,1.4621,1.4655,0.19940000000000002,0.19995,0.0976,0.0889,18670.0,2
19,100,300,823,15937,0.000725,1.4623,1.4644,0.19815,0.1997,0.0673,0.0884,18670.0,2
19,100,400,823,16037,0.000725,1.4622,1.4639,0.2,0.19924999999999998,0.0632,0.0891,18670.0,2
19,100,500,823,16137,0.000725,1.461,1.4636,0.19345,0.19895000000000002,0.0643,0.0915,18670.0,2
19,100,600,823,16237,0.000725,1.4612,1.4634,0.19825,0.19865,0.0607,0.0918,18670.0,2
19,100,700,823,16337,0.000725,1.4609,1.4632,0.19505,0.19824999999999998,0.0967,0.0912,18670.0,2
19,100,800,823,16437,0.000725,1.4633,1.463,0.19185000000000002,0.1979,0.0717,0.0908,18670.0,2
20,100,0,823,16460,0.000725,2.03305,2.03305,0.20015,0.20015,0.1225,0.1225,18670.0,2
20,100,100,823,16560,0.000725,1.4621499999999998,1.4677,0.19225,0.1953,0.0803,0.0914,18670.0,2
20,100,200,823,16660,0.000725,1.4609,1.4648,0.19175,0.19455,0.0655,0.0867,18670.0,2
20,100,300,823,16760,0.000725,1.4621499999999998,1.4638,0.19490000000000002,0.1944,0.0555,0.089,18670.0,2
20,100,400,823,16860,0.000725,1.4614,1.4635,0.42725,0.24295,0.2453,0.1594,18670.0,2
20,100,500,823,16960,0.000725,1.4624,1.4633,0.24314999999999998,0.25465,0.1329,0.1643,18670.0,2
20,100,600,823,17060,0.000725,1.4635,1.4632,0.21575,0.25,0.1253,0.1588,18670.0,2
20,100,700,823,17160,0.000725,1.46,1.4631,0.20700000000000002,0.24415,0.0955,0.1534,18670.0,2
20,100,800,823,17260,0.000725,1.4629,1.463,0.1992,0.23885,0.1097,0.1474,18670.0,2
21,100,0,823,17283,0.000725,2.5139,2.5139,0.2039,0.2039,0.1161,0.1161,18670.0,2
21,100,100,823,17383,0.000725,1.461,1.47195,0.19785,0.1982,0.0883,0.0865,18670.0,2
21,100,200,823,17483,0.000725,1.4617,1.4674999999999998,0.1989,0.19725,0.0963,0.0889,18670.0,2
21,100,300,823,17583,0.000725,1.4621,1.46585,0.1958,0.19635000000000002,0.0609,0.0895,18670.0,2
21,100,400,823,17683,0.000725,1.46035,1.46495,0.1899,0.19575,0.1112,0.0887,18670.0,2
21,100,500,823,17783,0.000725,1.4632,1.46445,0.1925,0.19519999999999998,0.0645,0.0884,18670.0,2
21,100,600,823,17883,0.000725,1.4609,1.4641000000000002,0.19295,0.19465,0.0717,0.0885,18670.0,2
21,100,700,823,17983,0.000725,1.4642,1.4638499999999999,0.18485000000000001,0.19424999999999998,0.0883,0.0868,18670.0,2
21,100,800,823,18083,0.000725,1.4616,1.46375,0.191,0.1938,0.0653,0.0862,18670.0,2
22,100,0,823,18106,0.000725,2.0522,2.0522,0.1917,0.1917,0.0761,0.0761,18670.0,2
22,100,100,823,18206,0.000725,1.463,1.4686,0.18919999999999998,0.1905,0.0886,0.0864,18670.0,2
22,100,200,823,18306,0.000725,1.463,1.4658,0.18469999999999998,0.1904,0.0694,0.0821,18670.0,2
22,100,300,823,18406,0.000725,1.4636,1.4649,0.18735000000000002,0.19014999999999999,0.0568,0.0817,18670.0,2
22,100,400,823,18506,0.000725,1.4637,1.4643,0.18964999999999999,0.18995,0.0972,0.0807,18670.0,2
22,100,500,823,18606,0.000725,1.4634,1.4639,0.18655,0.18964999999999999,0.0784,0.078,18670.0,2
22,100,600,823,18706,0.000725,1.4624,1.4639,0.18795,0.18955,0.0733,0.0779,18670.0,2
22,100,700,823,18806,0.000725,1.4647,1.464,0.19275,0.1894,0.0573,0.0784,18670.0,2
22,100,800,823,18906,0.000725,1.463,1.46395,0.18764999999999998,0.18925,0.0467,0.0779,18670.0,2
